dev,name,batch_size,_compile.<locals>.compile_inner,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,compile_fx_inner,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,compile_file,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,resmlp_12_224,128,23.591244,22.977719,22.069832,21.086792,20.315877,0.626679,19.196670,0.571390,0.958014,0.024391,3.013691,0,0
cuda,resnest101e,64,61.367950,59.289319,58.349951,52.849886,52.327052,4.298904,45.597991,3.394942,3.821409,0.101996,8.577356,0,0
cuda,rexnet_100,256,72.539626,70.854756,69.375669,66.848671,66.610525,1.655950,63.991993,1.438097,1.897680,0.053233,16.721142,0,0
cuda,sebotnet33ts_256,64,56.768959,55.458893,54.501288,52.509187,51.044142,2.329221,47.970347,3.302783,2.157051,0.041400,7.122170,0,0
cuda,selecsls42b,128,35.136033,34.542344,33.688028,32.361046,32.180528,0.925693,30.714354,0.790931,1.319252,0.025961,3.480618,0,0
cuda,spnasnet_100,128,39.753401,38.483349,37.532364,35.556351,35.164142,1.290127,33.054746,0.690548,1.434333,0.037165,5.524354,0,0
cuda,swin_base_patch4_window7_224,64,82.640849,80.453437,79.438304,74.830952,72.077228,4.464586,64.855886,6.223684,4.647625,0.091686,10.448328,0,0
cuda,swsl_resnext101_32x16d,32,39.391729,38.360801,37.458014,34.185309,33.722610,2.137564,30.240558,1.313025,2.009675,0.057623,3.061567,0,0
cuda,tf_efficientnet_b0,128,51.839394,50.546935,49.597718,47.608237,47.240642,1.347317,45.060352,1.071358,2.051356,0.051158,10.903737,0,0
cuda,tf_mixnet_l,128,69.924165,67.973886,67.067414,63.952224,63.676347,2.516819,59.915302,2.138649,3.387240,0.085647,14.668473,0,0
cuda,tinynet_a,128,52.181812,50.890604,49.892606,47.527632,47.115227,1.587884,44.536323,1.423955,1.977899,0.057444,10.879901,0,0
cuda,tnt_s_patch16_224,128,59.435013,58.133575,57.090157,53.254823,51.261804,3.075224,46.218386,4.639951,3.201990,0.090737,5.466363,0,0
cuda,twins_pcpvt_base,128,54.015531,52.343256,51.256511,46.889881,46.238407,3.217628,40.802665,3.347455,2.843095,0.088444,5.614252,0,0
cuda,visformer_small,128,51.547460,50.773231,49.854885,48.285014,47.061421,1.379117,44.915970,0.959147,1.443997,0.039511,7.756675,0,0
cuda,vit_base_patch16_224,64,22.182272,21.497547,20.615133,19.309289,19.041117,0.967536,17.367748,1.055969,1.247581,0.026443,1.592614,0,0
cuda,volo_d1_224,64,67.325817,66.014266,64.982900,61.994952,59.469946,2.799585,55.015334,3.185978,2.754639,0.066973,8.301137,0,0
cuda,xcit_large_24_p8_224,16,62.960474,60.937940,59.698559,53.597517,52.763411,4.771134,44.491322,4.307220,4.072280,0.115678,3.224500,0,0
cuda,AlbertForMaskedLM,4,24.240500,23.281878,22.352987,20.400266,19.920242,1.191791,17.885619,1.440922,1.392389,0.028996,1.585039,0,0
cuda,AlbertForQuestionAnswering,4,24.234384,23.377104,22.460460,20.525220,19.689933,1.181107,17.659323,1.447378,1.218048,0.029302,1.711418,0,0
cuda,AllenaiLongformerBase,4,75.629153,72.677643,71.423733,62.313893,60.462872,8.605110,48.102904,7.495514,6.507791,0.068529,3.934034,0,0
cuda,BartForCausalLM,4,21.158522,20.394396,19.405089,17.630576,16.713919,1.188555,14.461944,1.383680,1.406798,0.047291,1.437844,0,0
cuda,BartForConditionalGeneration,2,36.784047,34.893406,33.783767,29.067571,27.687788,3.140839,21.691835,3.355464,2.874017,0.114826,1.429999,0,0
cuda,BertForMaskedLM,16,20.595157,19.352257,18.418236,16.333915,15.382148,1.288000,13.216310,1.153746,1.308998,0.038591,1.041566,0,0
cuda,BertForQuestionAnswering,16,20.186785,18.970163,18.035288,15.967813,15.121318,1.271002,12.978969,1.123757,1.272170,0.038174,0.913602,0,0
cuda,BlenderbotSmallForCausalLM,64,21.472164,20.836756,19.959503,18.510516,17.618244,0.988233,15.801398,1.161726,1.275207,0.035022,1.706023,0,0
cuda,BlenderbotSmallForConditionalGeneration,64,33.475293,31.991034,30.973979,27.645601,26.456288,2.322443,21.884203,2.617659,2.375542,0.084395,1.878309,0,0
cuda,CamemBert,16,21.515639,20.229872,19.303404,17.232025,16.208726,1.127964,14.028131,1.162537,1.305467,0.038566,1.078727,0,0
cuda,DebertaForMaskedLM,8,26.639159,25.227043,24.252025,22.135038,21.215127,1.532776,18.497342,1.205523,1.502886,0.044106,1.676312,0,0
cuda,DebertaForQuestionAnswering,16,26.230392,24.817511,23.826274,21.679398,20.880679,1.528329,18.167073,1.174436,1.491429,0.042664,1.567073,0,0
cuda,DebertaV2ForMaskedLM,2,35.398191,33.065830,31.973484,27.811117,26.516097,3.038034,20.865801,3.036727,2.554614,0.105959,1.416005,0,0
cuda,DebertaV2ForQuestionAnswering,1,34.036809,31.718656,30.659948,26.492561,25.292555,2.832219,19.870665,2.903275,2.471787,0.103870,1.318820,0,0
cuda,DistilBertForMaskedLM,128,24.775659,24.261251,23.436077,22.327255,21.342806,0.986893,19.634545,1.025683,1.108721,0.027369,2.194328,0,0
cuda,DistilBertForQuestionAnswering,256,23.827894,23.333830,22.509181,21.247836,20.577285,0.848454,19.028223,0.927541,1.087995,0.026992,2.222310,0,0
cuda,DistillGPT2,16,25.222204,24.581111,23.709306,22.709819,21.714071,0.818984,20.378691,0.729154,1.052346,0.023268,2.152327,0,0
cuda,ElectraForCausalLM,32,24.166871,22.902764,21.979370,19.868481,18.940060,1.475903,16.583858,1.280893,1.348610,0.039367,1.432848,0,0
cuda,ElectraForQuestionAnswering,64,22.146003,20.904977,19.982483,17.883693,17.033669,1.105372,14.882803,1.122158,1.277318,0.039103,1.157826,0,0
cuda,GPT2ForSequenceClassification,4,27.012240,25.827651,24.836482,23.003953,22.229063,1.460685,19.831645,1.427434,1.512351,0.045388,1.152324,0,0
cuda,GoogleFnet,16,15.371110,14.646646,13.733981,12.915618,12.705418,0.793495,11.486789,0.835329,1.686780,0.016507,0.568512,0,0
cuda,LayoutLMForMaskedLM,16,20.883327,19.578913,18.647206,16.487646,15.519620,1.155263,13.293977,1.161021,1.316445,0.039056,1.041957,0,0
cuda,LayoutLMForSequenceClassification,16,20.395730,19.148197,18.187619,16.081807,15.223486,1.297707,13.046160,1.114580,1.283607,0.038236,0.656003,0,0
cuda,M2M100ForConditionalGeneration,16,38.428690,36.417633,35.281476,30.400195,29.482291,3.313962,23.213869,3.653720,3.304631,0.153409,1.041310,0,0
cuda,MBartForCausalLM,4,25.712425,24.858927,23.841815,21.912355,20.927206,1.576140,18.155296,1.426454,1.613526,0.050275,1.548796,0,0
cuda,MBartForConditionalGeneration,2,44.938912,42.846114,41.700665,36.596899,35.164327,3.649572,28.320141,3.812844,3.264336,0.125080,1.536736,0,0
cuda,MT5ForConditionalGeneration,16,47.074704,45.042356,43.796175,39.950572,39.182528,2.371331,35.256652,2.608695,2.572750,0.099730,1.555364,0,0
cuda,MegatronBertForCausalLM,4,27.333789,25.105989,24.059155,19.970680,19.135256,2.039049,15.446641,2.378245,2.168159,0.072192,0.572683,0,0
cuda,MegatronBertForQuestionAnswering,8,27.715382,25.521301,24.461976,20.371819,19.164797,2.024244,15.485267,2.327628,1.987887,0.069029,0.833483,0,0
cuda,MobileBertForMaskedLM,128,50.087596,44.775684,43.449327,35.721152,33.597566,3.852715,25.683044,3.431530,3.899442,0.183892,2.345240,0,0
cuda,MobileBertForQuestionAnswering,128,47.371837,41.683582,40.364099,32.661000,30.689932,3.354411,23.339405,3.381172,3.407045,0.182279,1.752635,0,0
cuda,OPTForCausalLM,2,25.482253,24.628019,23.577489,21.667240,21.226380,1.520894,18.499302,1.483188,1.779432,0.048713,1.458098,0,0
cuda,PLBartForCausalLM,8,19.997280,19.489924,18.641142,17.601867,16.568417,0.788178,15.136319,0.780493,1.102478,0.026582,1.621402,0,0
cuda,PLBartForConditionalGeneration,4,30.930803,29.741394,28.763246,26.207028,25.161557,1.977327,21.567686,2.098522,1.937991,0.070569,1.563209,0,0
cuda,PegasusForCausalLM,32,26.217211,25.368474,24.349914,22.451827,21.472718,1.563263,18.696775,1.423835,1.617133,0.050955,1.658478,0,0
cuda,PegasusForConditionalGeneration,32,41.737025,39.663879,38.525566,33.401321,31.915669,3.626688,25.121397,3.774451,3.243026,0.120825,1.502576,0,0
cuda,RobertaForCausalLM,16,21.968801,20.712215,19.769394,17.662228,16.565414,1.313114,14.365615,1.206160,1.345631,0.038523,1.149562,0,0
cuda,RobertaForQuestionAnswering,16,21.076024,19.845737,18.933432,16.812936,15.965360,1.113470,13.785254,1.132066,1.299433,0.039002,0.913286,0,0
cuda,Speech2Text2ForCausalLM,256,19.845439,19.376860,18.509147,17.401606,17.122463,0.861614,15.670075,0.952381,1.218351,0.026544,1.505571,0,0
cuda,T5ForConditionalGeneration,4,40.747468,39.245987,38.167677,35.541214,34.782838,1.465965,32.251974,1.815423,2.007085,0.069544,2.085878,0,0
cuda,T5Small,4,40.822371,39.343435,38.274648,35.640670,34.871763,1.483248,32.315095,1.836371,2.008320,0.071071,2.088280,0,0
